Файл	Сущность	Оффсет	Тип сущности	Окно±25
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	oxaliplatin	2827 : 2838	CM	           irinotecan or oxaliplatin-fluoropyrimidine-based s
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	fluoropyrimidine	2839 : 2855	CM	rinotecan or oxaliplatin-fluoropyrimidine-based systemic treatment
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	anti-	4435 : 4440	CPR	SBRT            -  Prior anti-cancer monoclonal antibod
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	anti-	5804 : 5809	CPR	ticipant has had a prior anti-cancer monoclonal antibod
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	CNS	7126 : 7129	CM	 central nervous system (CNS) metastases and/or      
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	CNS	7318 : 7321	CM	at least 6 months and no CNS progression has been    
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	thyroxine	7622 : 7631	CM	eplacement therapy (eg., thyroxine, insulin, or physiologic
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	anti-	8914 : 8919	CPR	ed prior therapy with an anti-PD-1, anti-PD-L1, or anti
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	anti-	8925 : 8930	CPR	erapy with an anti-PD-1, anti-PD-L1, or anti-PD-L2     
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	anti-	8940 : 8945	CPR	nti-PD-1, anti-PD-L1, or anti-PD-L2              agent.
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	HCV	9203 : 9206	CM	is C (e.g.,              HCV RNA [qualitative or quan
./___Corpus/ClinicalTrials/xml/NCT02837263.xml	PI	9394 : 9396	CM	y.                       PI Pembro in Combination Wi
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	sorafenib	635 : 644	CM	n. A phase II trial with sorafenib carried out in 37 subjec
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	I	1102 : 1103	CM	were observed in a phase I study with Inlyta, a pot
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	25-	2434 : 2437	CPR	lure, being diagnosed in 25-55% of the patients. Only
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	sorafenib	2740 : 2749	CM	ly a phase II trial with sorafenib has been carried out in 
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	CI	2904 : 2906	CM	e rate       of 16% (95% CI 6,2-32,0) was observed, 
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	6,2-	2907 : 2911	CPR	ate       of 16% (95% CI 6,2-32,0) was observed, 11% i
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	antiangiogenic	3121 : 3135	CJ	itation as observed with antiangiogenic agents. In preclinical m
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	I	3444 : 3445	CM	were observed in a phase I study with Inlyta®.     
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	2-	4400 : 4402	CPR	rolled over two years. A 2-stage Simon design will b
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	SDC	5108 : 5111	CM	tor and HER2 analysis in SDC and       adenocarcinoma
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	NOS	5137 : 5140	CM	and       adenocarcinoma NOS.                        
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	CT-scan	5600 : 5607	CM	nal measurable lesion by CT-scan or MRI              acco
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	bilirubin	6472 : 6481	CM	0/µl            -  Total bilirubin < 1.5 times the upper li
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	creatinine	6673 : 6683	CM	ses)            -  Serum creatinine <1.5 x upper limit of no
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	phosphatase	6789 : 6800	ASE	k            -  Alkaline phosphatase < 4 x ULN            -  
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	ULN	6807 : 6810	CM	kaline phosphatase < 4 x ULN            -  PT-INR/PTT
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	coumadin	6955 : 6963	CM	ed with an agent such as coumadin or heparin will be allow
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	anti-	8176 : 8181	CPR	s requiring              anti-arrhythmic therapy (beta 
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	digoxin	8218 : 8225	CM	herapy (beta blockers or digoxin are permitted) or uncont
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	Ta	9516 : 9518	CM	erficial bladder tumors [Ta, Tis and T1] or any canc
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	anti-	9710 : 9715	CPR	steroids or              anti-epileptics)            - 
./___Corpus/ClinicalTrials/xml/NCT02857712.xml	K	10032 : 10033	CM	herapy with oral vitamin K antagonists            -
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ibrutinib	585 : 594	CM	l assess the activity of ibrutinib in cancers of the oesoph
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	anti-	759 : 764	CPR	emotherapies.        Any anti-cancer activity seen will
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	18F-2-fluoro-2-deoxy-D-glucose	854 : 884	CM	ic changes on FDG       (18F-2-fluoro-2-deoxy-D-glucose fluorodeoxyglucose) - PE
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	fluorodeoxyglucose	885 : 903	CM	fluoro-2-deoxy-D-glucose fluorodeoxyglucose) - PET (positron emissio
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ibrutinib	1893 : 1902	CM	nts will be treated with ibrutinib until progression of the
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ibrutinib	2097 : 2106	CM	 dose       single-agent ibrutinib delivered orally at a do
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ibrutinib	2449 : 2458	CM	ive the study drug       ibrutinib.        A Phase 2 study 
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	PIS	3396 : 3399	CM	ipant information sheet (PIS) and informed consent fo
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ICF	3428 : 3431	CM	d informed consent form (ICF) that            has bee
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	PCR	4482 : 4485	CM	tion (by digital droplet PCR) and blood-borne biomark
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	PIS	5009 : 5012	CM	 be given the main study PIS and ICF that has        
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ICF	5017 : 5020	CM	n the main study PIS and ICF that has            been
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	PCR	6532 : 6535	CM	gital            droplet PCR) and bloodborne biomarke
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ibrutinib	8790 : 8799	CM	sess pharmacokinetics of ibrutinib on cycle 1 day 8 (predos
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	As	9309 : 9311	CM	ery 4 weeks)             As mentioned above, a biops
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ibrutinib	9534 : 9543	CM	y 14 (in all patients on ibrutinib) at week 8 (on those pat
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ibrutinib	9599 : 9608	CM	responding to            ibrutinib) on discontinuation of s
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ibrutinib	9701 : 9710	CM	progressed            on ibrutinib)             Treatment d
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	adeno	11385 : 11390	CM	d inoperable squamous or adeno              carcinoma o
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	gonadotropin	12516 : 12528	CM	n chorionic              gonadotropin [b-hCG]) or urine pregna
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	[b-hCG]	12529 : 12536	CM	            gonadotropin [b-hCG]) or urine pregnancy test
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	0-	12862 : 12864	CPR	ECOG) performance status 0-2, minimum life expectanc
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	alanine	13296 : 13303	CM	    transfusion support) alanine aminotransferase (ALT) a
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	aminotransferase	13304 : 13320	ASE	sfusion support) alanine aminotransferase (ALT) and aspartate amin
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	aspartate	13331 : 13340	CM	inotransferase (ALT) and aspartate aminotransferase (AST) ≤
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	aminotransferase	13341 : 13357	ASE	rase (ALT) and aspartate aminotransferase (AST) ≤3         x upper
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ULN	13400 : 13403	CM	x upper limit of normal (ULN) total bilirubin ≤1.5 x 
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	bilirubin	13411 : 13420	CM	it of normal (ULN) total bilirubin ≤1.5 x ULN unless biliru
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ULN	13428 : 13431	CM	) total bilirubin ≤1.5 x ULN unless bilirubin rise is
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	bilirubin	13439 : 13448	CM	irubin ≤1.5 x ULN unless bilirubin rise is due to         G
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	creatinine	13522 : 13532	CM	non-hepatic origin serum creatinine ≤2 x ULN or estimated   
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	ULN	13538 : 13541	CM	in serum creatinine ≤2 x ULN or estimated         cre
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	creatinine	13563 : 13573	CM	ULN or estimated         creatinine clearance (CCr) ≥30 mL/m
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	CCr	13585 : 13588	CM	   creatinine clearance (CCr) ≥30 mL/min/1.73m2      
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	-At	13617 : 13620	CM	0 mL/min/1.73m2          -At least one measurable tar
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	myocardial	14311 : 14321	CM	estive heart failure, or myocardial infarction within 6 mont
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	(IV)	15141 : 15145	CM	   requiring intravenous (IV) antibiotics.            
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	K	15212 : 15213	CM	agulation with a vitamin K antagonist            - 
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	Ibrutinib	15604 : 15613	CM	roof-of-concept Study of Ibrutinib in c-MYC and HER2 Amplif
./___Corpus/ClinicalTrials/xml/NCT02884453.xml	Ibrutinib	15709 : 15718	CM	roof-of-concept Study of Ibrutinib in c-MYC and HER2 Amplif
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	ErbB2	360 : 365	CM	factor receptor 2 (HER2, ErbB2) is a transmembrane tyro
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	tyrosine	386 : 394	CM	rbB2) is a transmembrane tyrosine       kinase receptor an
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	kinase	401 : 407	ASE	smembrane tyrosine       kinase receptor and is overexpr
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	10-	454 : 457	CPR	xpressed or amplified in 10-20% of gastric cancer. Re
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	anti-	1369 : 1374	CPR	mbining trastuzumab with anti-PD-1       inhibitor in H
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	IB	1449 : 1451	CM	uggest multicenter phase IB/II study to determine   
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	capecitabine	1586 : 1598	CM	ment       (trastuzumab, capecitabine, and cisplatin) in patie
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	cisplatin	1604 : 1613	CM	zumab, capecitabine, and cisplatin) in patients with HER2 p
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	Be	1774 : 1776	CM	ric cancer            2. Be willing and able to prov
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	Be	1866 : 1868	CM	the trial.            3. Be 19 years of age on day o
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	anti-	2982 : 2987	CPR	      5. Has had a prior anti-cancer monoclonal antibod
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	anti-	3883 : 3888	CPR	ed prior therapy with an anti-PD-1, anti-PD-L1, or anti
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	anti-	3894 : 3899	CPR	erapy with an anti-PD-1, anti-PD-L1, or anti-PD-L2 agen
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	anti-	3909 : 3914	CPR	nti-PD-1, anti-PD-L1, or anti-PD-L2 agent.           12
./___Corpus/ClinicalTrials/xml/NCT02901301.xml	Cisplatin	4255 : 4264	CM	zumab, Capecitabine, and Cisplatin in HER2 Positive Gastric
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	HSP90	157 : 162	CM	e heat shock protein 90 (HSP90). Hsp90 inhibitors may o
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	ibrutinib	201 : 210	CM	itors may overcome       ibrutinib resistance in Mantle cel
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	ibrutinib	344 : 353	CM	o an established dose of ibrutinib will result in the remov
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	CLL	500 : 503	CM	n of       subjects with CLL                       Ch
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	CLL	556 : 559	CM	ic lymphocytic leukemia (CLL) is the most prevalent l
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	kinase	712 : 718	ASE	       BTK is a critical kinase in the B cell receptor s
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	CLL	796 : 799	CM	ay is amplified       in CLL and results in amplifica
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	anti-	850 : 855	CPR	ion of proliferation and anti-apoptotic signals. By    
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	ibrutinib	899 : 908	CM	By       inhibiting BTK, ibrutinib eliminates the activatio
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	ibrutinib	1029 : 1038	CM	gnals. While response to ibrutinib has been high with thera
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	CLL	1213 : 1216	CM	ther reasons. Relapse in CLL can be mediated by at le
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	ibrutinib	1535 : 1544	CM	o an established dose of ibrutinib will reduce       mutate
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	CLL	1580 : 1583	CM	e       mutated BTK from CLL cells and/or prevents or
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	CLL	1659 : 1662	CM	n of subjects with       CLL.        This is an open-
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	ibrutinib	1725 : 1734	CM	f SNX‑5422 combined with ibrutinib. In each 28 day cycle,  
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	7‑	1850 : 1852	CPR	r 21 days, followed by a 7‑day       drug‑free perio
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	ibrutinib	1925 : 1934	CM	ue to receive daily oral ibrutinib at their established    
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	CLL	2182 : 2185	CM	       -  A diagnosis of CLL as defined by IWCLL 2008
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	IWCLL	2200 : 2205	CM	sis of CLL as defined by IWCLL 2008 criteria and curren
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	ibrutinib	2265 : 2274	CM	atment with              ibrutinib without evidence of dise
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	ibrutinib	2397 : 2406	CM	a therapy (not including ibrutinib)            -  Presence 
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	CLL	2489 : 2492	CM	ral blood or bone marrow CLL cells, or ≥1%           
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	ibrutinib	3120 : 3129	CM	periencing toxicity with ibrutinib            -  Prior trea
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	isoenzyme	3508 : 3517	CM	ytochrome P450 (CYP) 3A4 isoenzyme within 3 hours before or
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	ibrutinib	4545 : 4554	CM	al treatment (except for ibrutinib) from 30 days prior to t
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	retinal	4681 : 4688	CM	lar degeneration, or any retinal changes detected        
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	Ibrutinib	5036 : 5045	CM	ctivity of SNX-5422 Plus Ibrutinib in CLL          A Phase 
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	CLL	5049 : 5052	CM	X-5422 Plus Ibrutinib in CLL          A Phase 1, Open
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	Ibrutinib	5106 : 5115	CM	el Study of SNX‑5422 and Ibrutinib in Chronic Lymphocytic L
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	Bruton's Tyrosine	5176 : 5193	CM	jects With a Mutation in Bruton's Tyrosine Kinase     
./___Corpus/ClinicalTrials/xml/NCT02914327.xml	Kinase	5194 : 5200	ASE	ion in Bruton's Tyrosine Kinase     
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	tyrosine	55 : 63	CM	, potent, small molecule tyrosine kinase inhibitor (TKI) t
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	kinase	64 : 70	ASE	 small molecule tyrosine kinase inhibitor (TKI) that sel
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	PK	280 : 282	CM	ate the pharmacokinetic (PK) and safety       profil
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	RP2D	410 : 414	CM	nded       Phase 2 dose (RP2D) of oral CK-101; to asse
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	NSCLC	504 : 509	CM	previously       treated NSCLC patients known to have t
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	RP2D	846 : 850	CM	ecommended Phase 2 dose (RP2D) in previously       tre
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	NSCLC	908 : 913	CM	-small cell lung cancer (NSCLC) patients who have docum
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	NSCLC	1172 : 1177	CM	-small cell lung cancer (NSCLC) or other              r
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	NSCLC	1890 : 1895	CM	 T790M mutation-positive NSCLC          Exclusion Crite
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	platinum	2505 : 2513	CM	pecia and Grade 2, prior platinum-therapy related neuropat
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	NSCLC	3354 : 3359	CM	 T790M mutation-positive NSCLC, or have evidence       
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	I	3472 : 3473	CM	                   Phase I/II Study of CK-101 in NS
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	NSCLC	3496 : 3501	CM	 I/II Study of CK-101 in NSCLC Patients and Other Advan
./___Corpus/ClinicalTrials/xml/NCT02926768.xml	I	3565 : 3566	CM	rs               A Phase I/II, Open-Label, Safety, 
./___Corpus/ClinicalTrials/xml/NCT02940132.xml	SC10914	13 : 20	CM	             SC10914 is a potent selective PA
./___Corpus/ClinicalTrials/xml/NCT02940132.xml	SC10914	205 : 212	CM	ncreasing doses of       SC10914 when administered orally
./___Corpus/ClinicalTrials/xml/NCT02940132.xml	SC10914	324 : 331	CM	  safety and efficacy of SC10914 in patients with advance
./___Corpus/ClinicalTrials/xml/NCT02940132.xml	Dose(RP2D)	516 : 526	CM	     Recommended Phase 2 Dose(RP2D).                        
./___Corpus/ClinicalTrials/xml/NCT02940132.xml	18-	639 : 642	CPR	nsent            -  Aged 18-70 years            -  Do
./___Corpus/ClinicalTrials/xml/NCT02940132.xml	anti-	1575 : 1580	CPR	    -  Patients accepted anti-cancer therapy including 
./___Corpus/ClinicalTrials/xml/NCT02940132.xml	mitomycin C	1893 : 1904	CM	gs used eg,. 6 weeks for mitomycin C or nitrosourea)         
./___Corpus/ClinicalTrials/xml/NCT02940132.xml	nitrosourea	1908 : 1919	CM	weeks for mitomycin C or nitrosourea)            -  With seri
./___Corpus/ClinicalTrials/xml/NCT02940132.xml	SC10914	2438 : 2445	CM	              A Study of SC10914 in Patients With Advance
./___Corpus/ClinicalTrials/xml/NCT02940132.xml	SC10914	2607 : 2614	CM	 Preliminary Efficacy of SC10914 in Patients With Advance
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	erlotinib	550 : 559	CM	st-generation EGFR-TKIs (erlotinib and gefitinib), indicati
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	gefitinib	564 : 573	CM	EGFR-TKIs (erlotinib and gefitinib), indicating the       e
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	NSCLC	838 : 843	CM	xpression in EGFR mutant NSCLC       contributes to the
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	SRC	929 : 932	CM	hrough activation of the SRC oncogene.       They hav
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	erlotinib	1010 : 1019	CM	ion of an EGFR-TKI (both erlotinib and osimertinib) and a  
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	dasatinib	1194 : 1203	CM	ombination of two drugs, dasatinib and osimertinib, to over
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	Dasatinib	1603 : 1612	CM	 of acquired resistance. Dasatinib is a       potent, orall
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	SRC	1654 : 1657	CM	t, orally available ABL1/SRC TKI, approved for the tr
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	imatinib	1765 : 1773	CM	ine and in patients with imatinib-resistant disease or int
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	dasatinib	1959 : 1968	CM	ding the highest dose of dasatinib that can be       given 
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	dasatinib	2097 : 2106	CM	cts seen       by giving dasatinib at different dose levels
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	dasatinib	2184 : 2193	CM	ring the levels of       dasatinib and osimertinib in blood
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	dasatinib	2316 : 2325	CM	ts of the combination of dasatinib and osimertinib and dete
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	dasatinib	2493 : 2502	CM	the       combination of dasatinib and osimertinib.        
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	NSCLC	2862 : 2867	CM	-small cell lung cancer (NSCLC), especially in adenocar
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	tyrosine	3099 : 3107	CM	ive to the EGFR-targeted tyrosine kinase       inhibitors 
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	kinase	3108 : 3114	ASE	e EGFR-targeted tyrosine kinase       inhibitors (TKIs).
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	erlotinib	3284 : 3293	CM	st generation EGFR-TKIs (erlotinib and gefitinib),       in
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	gefitinib	3298 : 3307	CM	EGFR-TKIs (erlotinib and gefitinib),       indicating the e
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	NSCLC	3662 : 3667	CM	xpression in EGFR mutant NSCLC contributes to the intri
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	SRC	3735 : 3738	CM	nce to EGFR-TKIs through SRC activation. They have al
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	erlotinib	3818 : 3827	CM	 an       EGFR-TKI (both erlotinib and AZD9291) and a Src i
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	vitro	3880 : 3885	CM	bitor are synergistic in vitro and in       vivo in Cri
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	Dasatinib	4270 : 4279	CM	 of acquired resistance. Dasatinib       is a potent, orall
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	SRC	4321 : 4324	CM	t, orally available ABL1/SRC TKI, approved for the tr
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	imatinib	4432 : 4440	CM	ine and in patients with imatinib-resistant disease or int
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	I	4614 : 4615	CM	mized, prospective phase I/II trial. The phase I po
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	I	4636 : 4637	CM	se I/II trial. The phase I portion will       follo
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	I	4700 : 4701	CM	3+3 design for the phase I portion and one-sample g
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	NSCLC	4931 : 4936	CM	cally confirmed advanced NSCLC. Patients              w
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	NSCLC	5631 : 5636	CM	GFR TKI for the advanced NSCLC.            -  ECOG perf
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	0-	5679 : 5681	CPR	OG performance status of 0-2.            -  Patients
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	bilirubin	6439 : 6448	CM	nts > 100 x 109/L; serum bilirubin < 2 x ULN; alanine      
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	ULN	6455 : 6458	CM	L; serum bilirubin < 2 x ULN; alanine              am
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	alanine	6460 : 6467	CM	rum bilirubin < 2 x ULN; alanine              aminotransf
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	aminotransferase	6481 : 6497	ASE	LN; alanine              aminotransferase (ALT) and aspartate amin
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	aspartate	6508 : 6517	CM	inotransferase (ALT) and aspartate aminotransferase (AST) <
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	aminotransferase	6518 : 6534	ASE	rase (ALT) and aspartate aminotransferase (AST) < 2.5 x ULN or < 5
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	ULN	6549 : 6552	CM	ransferase (AST) < 2.5 x ULN or < 5 x ULN            
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	ULN	6562 : 6565	CM	ST) < 2.5 x ULN or < 5 x ULN              if liver me
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	creatinine	6611 : 6621	CM	r metastases; calculated creatinine clearance > 50 mL/min). 
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	myocardial	6691 : 6701	CM	ontrolled arrhythmia; no myocardial infarction in the last 6
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	nitrosoureas	7109 : 7121	CM	ous 4 weeks (6 weeks for nitrosoureas or mitomycin)           
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	mitomycin	7125 : 7134	CM	eeks for nitrosoureas or mitomycin)              before tre
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	pericardial	7930 : 7941	CM	           -  Pleural or pericardial effusions of any grade a
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	pericardial	8037 : 8048	CM	  diagnosed with pleural/pericardial effusion of any grade re
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	WOCBP	8513 : 8518	CM	 childbearing potential (WOCBP) must              have 
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	IU	8608 : 8610	CM	 (minimum sensitivity 25 IU/L or              equiva
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	anti-	10231 : 10236	CPR	 one year (e.g. acquired anti-factor                   
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	VII	10261 : 10264	CM	factor                   VII antibodies)            -
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	Dasatinib	10448 : 10457	CM	y.                       Dasatinib and Osimertinib (AZD9291
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	I	10563 : 10564	CM	ions               Phase I/II Study of Dasatinib an
./___Corpus/ClinicalTrials/xml/NCT02954523.xml	Dasatinib	10577 : 10586	CM	     Phase I/II Study of Dasatinib and Osimertinib (AZD9291
./___Corpus/ClinicalTrials/xml/NCT02972060.xml	300-	690 : 694	CPR	 be administered as oral 300-mg tablets. The dose of s
./___Corpus/ClinicalTrials/xml/NCT02972060.xml	300-	782 : 786	CPR	600 milligrams (mg) (2 x 300-mg tablets) twice daily (
./___Corpus/ClinicalTrials/xml/NCT02972060.xml	anti-	1218 : 1223	CPR	tion therapy.        Any anti-cancer therapy other than
./___Corpus/ClinicalTrials/xml/NCT02972060.xml	LHRH	1502 : 1506	CM	rmone-releasing hormone (LHRH) antagonist for 24 weeks
